Tijd,Van,Naar,Exchange Rate
2023-08-18T21:15:06.0000000Z,BTC,ETH,15.689878871224838
2023-08-18T21:20:01.0000000Z,BTC,ETH,15.684393599806764
2023-08-18T21:25:01.0000000Z,BTC,ETH,15.672515780718133
2023-08-18T21:30:06.0000000Z,BTC,ETH,15.67154122683657
2023-08-18T21:35:04.0000000Z,BTC,ETH,15.671314455234969
2023-08-18T21:40:02.0000000Z,BTC,ETH,15.663878259153744
2023-08-18T21:45:00.0000000Z,BTC,ETH,15.65723862014142
2023-08-18T21:50:00.0000000Z,BTC,ETH,15.670423951215112
2023-08-18T21:55:00.0000000Z,BTC,ETH,15.669917635398324
2023-08-20T22:21:40.0000000Z,BTC,ETH,15.56630162047002
