Tijd,Van,Naar,Exchange Rate
2023-12-10T01:23:59.0000000Z,BTC,EUR,40759.25330501165
2023-12-10T01:24:58.0000000Z,BTC,EUR,40756.90347083116
2023-12-10T01:25:58.0000000Z,BTC,EUR,40754.99791560322
2023-12-10T01:26:59.0000000Z,BTC,EUR,40761.26045967515
2023-12-10T01:27:59.0000000Z,BTC,EUR,40770.39504838475
2023-12-10T01:28:59.0000000Z,BTC,EUR,40790.05086481837
2023-12-10T01:29:59.0000000Z,BTC,EUR,40776.79945296749
2023-12-10T01:30:59.0000000Z,BTC,EUR,40791.55278964404
2023-12-10T01:31:59.0000000Z,BTC,EUR,40756.532925339176
2023-12-10T01:33:00.0000000Z,BTC,EUR,40782.77710212759
2023-12-10T01:33:59.0000000Z,BTC,EUR,40757.977206107505
2023-12-10T01:34:59.0000000Z,BTC,EUR,40755.067698950355
2023-12-10T01:36:00.0000000Z,BTC,EUR,40738.76810750826
2023-12-10T01:36:59.0000000Z,BTC,EUR,40744.51892221865
2023-12-10T01:37:58.0000000Z,BTC,EUR,40733.009562528954
2023-12-10T01:39:00.0000000Z,BTC,EUR,40744.979918829056
2023-12-10T01:39:59.0000000Z,BTC,EUR,40734.8322161575
2023-12-10T01:40:59.0000000Z,BTC,EUR,40747.10267680773
2023-12-10T01:41:58.0000000Z,BTC,EUR,40745.38918610298
2023-12-10T01:42:59.0000000Z,BTC,EUR,40737.88970930653
2023-12-10T01:44:00.0000000Z,BTC,EUR,40738.99108814002
2023-12-10T01:45:00.0000000Z,BTC,EUR,40741.84928649232
2023-12-10T01:45:58.0000000Z,BTC,EUR,40735.662292834146
2023-12-10T01:47:00.0000000Z,BTC,EUR,40734.208925643914
2023-12-10T01:48:00.0000000Z,BTC,EUR,40745.90002837776
2023-12-10T01:48:59.0000000Z,BTC,EUR,40741.721145566415
2023-12-10T01:49:59.0000000Z,BTC,EUR,40734.7002488448
2023-12-10T01:50:59.0000000Z,BTC,EUR,40738.56293053859
2023-12-10T01:52:00.0000000Z,BTC,EUR,40736.490039450306
2023-12-10T01:52:59.0000000Z,BTC,EUR,40729.491592533006
2023-12-10T01:53:58.0000000Z,BTC,EUR,40731.28953991479
2023-12-10T01:54:59.0000000Z,BTC,EUR,40745.04816392062
2023-12-10T01:56:00.0000000Z,BTC,EUR,40738.82138091754
2023-12-10T02:01:59.0000000Z,BTC,EUR,40738.55729016639
2023-12-10T02:05:58.0000000Z,BTC,EUR,40736.5869883019
2023-12-10T02:07:00.0000000Z,BTC,EUR,40719.00808825761
2023-12-10T02:11:59.0000000Z,BTC,EUR,40697.208236506805
2023-12-10T02:18:00.0000000Z,BTC,EUR,40677.80253763135
2023-12-10T02:25:59.0000000Z,BTC,EUR,40690.513417529815
2023-12-10T02:30:59.0000000Z,BTC,EUR,40673.39068862014
2023-12-10T02:36:58.0000000Z,BTC,EUR,40691.494169568534
2023-12-10T02:38:00.0000000Z,BTC,EUR,40693.067544968304
2023-12-10T02:42:59.0000000Z,BTC,EUR,40712.914395497304
2023-12-10T02:49:59.0000000Z,BTC,EUR,40696.77273446813
2023-12-10T02:51:00.0000000Z,BTC,EUR,40689.05061563639
2023-12-10T02:56:59.0000000Z,BTC,EUR,40686.57288814956
2023-12-10T03:00:01.0000000Z,BTC,EUR,40684.158320954906
2023-12-10T03:01:59.0000000Z,BTC,EUR,40684.98542167957
2023-12-10T03:02:59.0000000Z,BTC,EUR,40690.119828582465
2023-12-10T03:04:00.0000000Z,BTC,EUR,40678.43341267905
2023-12-10T03:04:59.0000000Z,BTC,EUR,40680.07152471984
2023-12-10T03:11:00.0000000Z,BTC,EUR,40679.62842902832
2023-12-10T03:12:00.0000000Z,BTC,EUR,40687.26962031255
2023-12-10T03:14:59.0000000Z,BTC,EUR,40695.96531740932
2023-12-10T03:23:00.0000000Z,BTC,EUR,40697.331955915455
2023-12-10T03:30:59.0000000Z,BTC,EUR,40725.908867386235
2023-12-10T03:31:59.0000000Z,BTC,EUR,40725.55568868343
2023-12-10T03:33:00.0000000Z,BTC,EUR,40747.84193760821
2023-12-10T03:33:59.0000000Z,BTC,EUR,40746.27524289298
2023-12-10T03:39:59.0000000Z,BTC,EUR,40743.02871949811
2023-12-10T03:40:59.0000000Z,BTC,EUR,40743.50332848787
2023-12-10T03:41:58.0000000Z,BTC,EUR,40740.35612269609
2023-12-10T03:43:00.0000000Z,BTC,EUR,40750.63344209804
2023-12-10T03:48:59.0000000Z,BTC,EUR,40742.01101741764
2023-12-10T03:49:58.0000000Z,BTC,EUR,40736.89868869993
2023-12-10T03:50:59.0000000Z,BTC,EUR,40737.551182738476
2023-12-10T03:56:59.0000000Z,BTC,EUR,40765.606811909
2023-12-10T03:58:00.0000000Z,BTC,EUR,40770.2337705838
2023-12-10T04:01:58.0000000Z,BTC,EUR,40759.64082384482
2023-12-10T04:06:59.0000000Z,BTC,EUR,40773.764180641505
2023-12-10T04:08:00.0000000Z,BTC,EUR,40766.34968809154
2023-12-10T04:13:59.0000000Z,BTC,EUR,40751.37614048527
2023-12-10T04:15:00.0000000Z,BTC,EUR,40759.84379308759
2023-12-10T04:19:59.0000000Z,BTC,EUR,40769.98913933954
2023-12-10T04:20:58.0000000Z,BTC,EUR,40770.341728406864
2023-12-10T04:22:00.0000000Z,BTC,EUR,40796.71912857145
2023-12-10T04:23:00.0000000Z,BTC,EUR,40806.6546712043
2023-12-10T04:31:00.0000000Z,BTC,EUR,40815.41653526412
2023-12-10T04:39:00.0000000Z,BTC,EUR,40874.78565712024
2023-12-10T04:40:00.0000000Z,BTC,EUR,40863.20936388853
2023-12-10T04:45:59.0000000Z,BTC,EUR,40870.61300546336
2023-12-10T04:49:59.0000000Z,BTC,EUR,40859.024555241216
2023-12-10T04:58:58.0000000Z,BTC,EUR,40860.36283903379
2023-12-10T05:01:59.0000000Z,BTC,EUR,40869.347942288674
2023-12-10T05:05:58.0000000Z,BTC,EUR,40863.72285537848
2023-12-10T05:11:58.0000000Z,BTC,EUR,40839.01616523476
2023-12-10T05:13:00.0000000Z,BTC,EUR,40845.589403698454
2023-12-10T05:18:59.0000000Z,BTC,EUR,40844.972483886726
2023-12-10T05:19:58.0000000Z,BTC,EUR,40842.85595589316
2023-12-10T05:21:00.0000000Z,BTC,EUR,40848.62695022825
2023-12-10T05:21:59.0000000Z,BTC,EUR,40848.942737620724
2023-12-10T05:26:59.0000000Z,BTC,EUR,40846.95455335307
2023-12-10T05:28:00.0000000Z,BTC,EUR,40848.43675631636
2023-12-10T05:31:00.0000000Z,BTC,EUR,40833.755490964235
2023-12-10T05:33:00.0000000Z,BTC,EUR,40837.84188509111
2023-12-10T05:39:00.0000000Z,BTC,EUR,40851.225270350966
2023-12-10T05:44:59.0000000Z,BTC,EUR,40837.30453802714
2023-12-10T05:48:59.0000000Z,BTC,EUR,40835.25505208645
2023-12-10T05:49:59.0000000Z,BTC,EUR,40831.352491278965
2023-12-10T05:56:59.0000000Z,BTC,EUR,40827.81620443193
2023-12-10T06:01:00.0000000Z,BTC,EUR,40812.14268264155
2023-12-10T06:09:59.0000000Z,BTC,EUR,40810.206595246316
2023-12-10T06:15:59.0000000Z,BTC,EUR,40802.28180122956
2023-12-10T06:17:00.0000000Z,BTC,EUR,40802.14279714084
2023-12-10T06:24:59.0000000Z,BTC,EUR,40797.29816675044
2023-12-10T06:26:00.0000000Z,BTC,EUR,40793.32786393574
2023-12-10T06:31:59.0000000Z,BTC,EUR,40822.18251918707
2023-12-10T06:32:59.0000000Z,BTC,EUR,40812.24357213896
2023-12-10T06:34:00.0000000Z,BTC,EUR,40808.510547386664
2023-12-10T06:40:59.0000000Z,BTC,EUR,40805.64773971581
2023-12-10T06:44:59.0000000Z,BTC,EUR,40825.97081523301
