Tijd,Van,Naar,Exchange Rate
2023-08-18T21:15:07.0000000Z,ETH,EUR,1539.5897281273894
2023-08-18T21:20:02.0000000Z,ETH,EUR,1541.708652864441
2023-08-18T21:25:02.0000000Z,ETH,EUR,1544.3863564280907
2023-08-18T21:30:07.0000000Z,ETH,EUR,1542.5071562242933
2023-08-18T21:35:04.0000000Z,ETH,EUR,1539.4637105616227
2023-08-18T21:40:03.0000000Z,ETH,EUR,1541.7804558429818
2023-08-18T21:45:01.0000000Z,ETH,EUR,1541.5338349429537
2023-08-18T21:50:01.0000000Z,ETH,EUR,1540.0876247300894
2023-08-18T21:55:02.0000000Z,ETH,EUR,1538.6843491407346
2023-08-20T22:21:44.0000000Z,ETH,EUR,1554.1394080412697
